,Total_length,Mavlink_Count,Status
0,3403,32,0
1,3805,35,0
2,3561,31,0
3,3170,30,0
4,3402,32,0
5,3303,31,0
6,3718,36,0
7,3221,30,0
8,3828,37,0
9,3029,28,0
10,3678,35,0
11,3160,29,0
12,3399,32,0
13,3371,32,0
14,3593,34,0
15,3302,31,0
16,3465,33,0
17,3027,28,0
18,4200,41,0
19,3113,29,0
20,3402,32,0
21,3559,33,0
22,3391,32,0
23,3170,30,0
24,3517,33,0
25,3380,32,0
26,3467,34,0
27,3336,31,0
28,3911,37,0
29,3308,31,0
30,3399,32,0
31,3444,32,0
32,3316,30,0
33,3365,32,0
34,3398,32,0
35,3380,32,0
36,3388,32,0
37,3221,30,0
38,4003,39,0
39,3309,31,0
40,3208,30,0
41,3558,33,0
42,3391,32,0
43,3286,31,0
44,3402,32,0
45,3379,32,0
46,3242,31,0
47,3428,32,0
48,3905,38,0
49,3113,29,0
50,3593,34,0
51,3444,32,0
52,3317,31,0
53,3364,32,0
54,3400,32,0
55,3185,30,0
56,3639,35,0
57,2942,27,0
58,4284,42,0
59,3228,30,0
60,3404,32,0
61,3521,33,0
62,3312,31,0
63,3364,32,0
64,3324,31,0
65,3301,31,0
66,3424,33,0
67,3039,28,0
68,4189,41,0
69,3028,28,0
70,3562,34,0
71,3445,32,0
72,3317,31,0
73,3479,33,0
74,3399,32,0
75,3345,31,0
76,3464,33,0
77,3144,29,0
78,3735,37,0
79,3655,34,0
80,3323,31,0
81,3445,31,0
82,3390,32,0
83,3363,32,0
84,3444,30,0
85,3379,32,0
86,3518,34,0
87,3285,31,0
88,3712,36,0
89,3230,30,0
90,3390,32,0
91,3534,32,0
92,3404,32,0
93,3479,33,0
94,3399,32,0
95,3186,30,0
96,3583,34,0
97,3220,30,0
98,3908,39,0
99,3115,29,0
100,3402,32,0
101,3443,31,0
102,3507,33,0
103,3285,31,0
104,3287,31,0
105,3495,33,0
106,3461,33,0
107,3092,29,0
108,4020,39,0
109,3308,31,0
110,3197,30,0
111,3530,33,0
112,3432,32,0
113,3171,30,0
114,3391,32,0
115,3502,33,0
116,3407,33,0
117,3339,31,0
118,4003,39,0
119,3307,31,0
120,3210,30,0
121,3637,34,0
122,3311,31,0
123,3364,32,0
124,3325,31,0
125,3379,32,0
126,3462,33,0
127,3285,31,0
128,3827,37,0
